lat;lon;tx_time;tx_node_id
13.39253;99.2649;289794;70B3D54993883B0C
13.39241;99.26525;338566;70B3D54993883B0C
13.39241;99.26525;340957;70B3D54993883B0C
13.39241;99.26525;343564;70B3D54993883B0C
13.39241;99.26525;345402;70B3D54993883B0C
13.39241;99.26524;347283;70B3D54993883B0C
13.39224;99.26564;399083;70B3D54993883B0C
13.39224;99.26566;402769;70B3D54993883B0C
13.39226;99.26574;405889;70B3D54993883B0C
13.39226;99.26574;409144;70B3D54993883B0C
13.39226;99.26574;411461;70B3D54993883B0C
13.39226;99.26613;474427;70B3D54993883B0C
13.39226;99.26615;479576;70B3D54993883B0C
13.39227;99.26616;481532;70B3D54993883B0C
13.39229;99.26619;485907;70B3D54993883B0C
13.39228;99.2662;487807;70B3D54993883B0C
13.39247;99.267;594376;70B3D54993883B0C
13.39246;99.267;598740;70B3D54993883B0C
13.39246;99.267;601753;70B3D54993883B0C
13.39247;99.267;606655;70B3D54993883B0C
13.39247;99.267;608847;70B3D54993883B0C
13.39254;99.26726;652419;70B3D54993883B0C
13.39253;99.26732;660111;70B3D54993883B0C
13.39253;99.26732;666530;70B3D54993883B0C
13.39253;99.26732;668758;70B3D54993883B0C
13.39253;99.26732;671060;70B3D54993883B0C
13.39258;99.26735;682273;70B3D54993883B0C
13.39261;99.26746;688897;70B3D54993883B0C
13.39262;99.26748;692626;70B3D54993883B0C
13.39262;99.26749;696997;70B3D54993883B0C
13.39262;99.26757;700755;70B3D54993883B0C
13.39262;99.26758;705446;70B3D54993883B0C
13.39262;99.2676;708373;70B3D54993883B0C
13.39262;99.26769;716740;70B3D54993883B0C
13.39263;99.26771;721702;70B3D54993883B0C
13.39265;99.2678;728297;70B3D54993883B0C
13.39266;99.2678;731971;70B3D54993883B0C
13.39266;99.26781;738861;70B3D54993883B0C
13.39271;99.26791;744055;70B3D54993883B0C
13.39272;99.26792;746483;70B3D54993883B0C
13.39272;99.26792;748981;70B3D54993883B0C
13.39272;99.26792;751003;70B3D54993883B0C
13.39273;99.26792;753103;70B3D54993883B0C
13.39273;99.26792;755071;70B3D54993883B0C
13.39273;99.26792;766629;70B3D54993883B0C
13.39275;99.2681;783012;70B3D54993883B0C
13.39275;99.2681;787184;70B3D54993883B0C
13.39276;99.26811;790574;70B3D54993883B0C
13.3928;99.26823;796285;70B3D54993883B0C
13.3928;99.26823;799448;70B3D54993883B0C
13.3928;99.26823;802645;70B3D54993883B0C
13.39279;99.26823;804801;70B3D54993883B0C
13.39274;99.26834;811091;70B3D54993883B0C
13.39273;99.26834;813249;70B3D54993883B0C
13.39273;99.26834;815404;70B3D54993883B0C
13.39273;99.26834;817426;70B3D54993883B0C
13.39273;99.26834;819305;70B3D54993883B0C
13.39274;99.26836;835663;70B3D54993883B0C
13.39273;99.26838;842563;70B3D54993883B0C
13.39274;99.26838;846415;70B3D54993883B0C
13.39274;99.26838;848567;70B3D54993883B0C
None;None;851974;70B3D54993883B0C
13.3928;99.26851;857003;70B3D54993883B0C
13.3928;99.26851;859877;70B3D54993883B0C
13.3925;99.2687;916698;70B3D54993883B0C
13.3924;99.26875;920062;70B3D54993883B0C
13.39239;99.26875;922326;70B3D54993883B0C
13.39237;99.26875;924615;70B3D54993883B0C
13.39227;99.26879;944197;70B3D54993883B0C
13.39226;99.26879;949107;70B3D54993883B0C
13.39223;99.2688;955954;70B3D54993883B0C
13.39223;99.2688;959786;70B3D54993883B0C
13.39223;99.2688;961763;70B3D54993883B0C
13.39223;99.2688;966562;70B3D54993883B0C
13.39197;99.26888;1008136;70B3D54993883B0C
13.39187;99.26891;1010915;70B3D54993883B0C
13.39186;99.26891;1013673;70B3D54993883B0C
13.39185;99.26891;1017411;70B3D54993883B0C
13.39185;99.26891;1019726;70B3D54993883B0C
13.39184;99.26893;1022854;70B3D54993883B0C
13.39184;99.26893;1025076;70B3D54993883B0C
13.39174;99.26902;1027118;70B3D54993883B0C
13.39164;99.26903;1038699;70B3D54993883B0C
13.39164;99.26903;1043288;70B3D54993883B0C
13.39156;99.26898;1068725;70B3D54993883B0C
13.39156;99.269;1071640;70B3D54993883B0C
13.39155;99.269;1077814;70B3D54993883B0C
13.39154;99.26902;1080979;70B3D54993883B0C
13.39147;99.26905;1083947;70B3D54993883B0C
13.39146;99.26906;1087515;70B3D54993883B0C
13.39146;99.26906;1092878;70B3D54993883B0C
13.39145;99.26906;1095255;70B3D54993883B0C
13.39131;99.26909;1112069;70B3D54993883B0C
13.39131;99.26911;1114277;70B3D54993883B0C
13.39122;99.26917;1127128;70B3D54993883B0C
13.39112;99.26917;1131491;70B3D54993883B0C
13.39111;99.26917;1137850;70B3D54993883B0C
13.3911;99.26919;1139774;70B3D54993883B0C
13.39093;99.26926;1162038;70B3D54993883B0C
